product_name,product_category,product_description,product_price,product_quantity
Portable Bluetooth Headphones,Audio,Wireless headphones with noise-canceling features.,79.99,97
Backpack,Accessories,Durable and spacious backpack for travel and school.,49.99,56
Linen Trousers,Clothing - Bottoms,Breathable linen trousers perfect for hot weather.,44.99,1
Ice Pack,Health,Reusable gel ice pack for injuries and cooling.,8.99,80
Travel Yoga Mat,Fitness,Lightweight yoga mat for practicing on the go.,34.99,81
Silicone Baking Mat,Kitchen,Non-stick baking mat for easy cooking and cleanup.,15.99,2
Nutty Granola Clusters,Food - Cereal,Crunchy granola clusters mixed with nuts and honey.,2.49,47
Sporty Slide Sandals,Clothing - Footwear,Comfortable slide sandals for lounging by the pool.,24.99,94
Herbal Tea Sampler Box,Food,Assorted collection of herbal teas for relaxation and wellness.,29.99,92
Banana Nut Oatmeal Cups,Food - Breakfast,"Quick oatmeal cups with banana and nut flavor, great for breakfast.",2.99,85
Portable Camping Shower,Outdoor,Convenient shower system for camping and outdoor activities.,39.99,66
Handmade Soap Making Kit,Crafts,Complete kit for crafting your own scented soaps.,34.99,60
Garlic Parmesan Wings,Food - Frozen Foods,Frozen chicken wings with garlic parmesan sauce.,8.99,24
Fried Rice,Food - Frozen Foods,"Pre-cooked vegetable fried rice, just heat and serve.",4.29,36
Karaoke Microphone,Music,Wireless microphone for singing and performances.,39.99,50
Whole Roasted Chicken,Food - Meats,"Seasoned and roasted to perfection, ready to eat.",9.99,61
Tabletop Fire Pit,Outdoor,Compact and stylish indoor/outdoor fire pit for ambiance.,79.99,66
Sourdough Bread,Food - Bakery,Artisan-made sourdough bread with a tangy flavor.,4.99,86
Classic Caesar Salad Kit,Food - Salads,Everything you need for a fresh and delicious Caesar salad.,4.99,5
Shredded Cheese,Food - Dairy,"Blend of cheddar and mozzarella cheese, great for recipes.",4.29,41
Cinnamon Roll Kit,Food - Baking,Everything you need to make melt-in-your-mouth cinnamon rolls at home.,6.89,18
Interchangeable Watch Bands,Accessories,Set of stylish watch bands to customize your look.,24.99,20
Gluten-Free Brownies,Food - Baking,"Decadent brownies made without gluten, rich and chocolatey.",4.99,9
Apple Cinnamon Breakfast Muffins,Food - Bakery,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,3.49,70
Portable Solar Phone Charger,Electronics,Eco-friendly charger that uses solar energy for powering devices.,29.99,100
Spaghetti Sauce,Food - Canned Goods,"Rich spaghetti sauce, a perfect pasta sauce.",2.99,35
Sliced Provolone Cheese,Food - Dairy,Mild cheese great for sandwiches.,3.99,21
Spinach and Feta Stuffed Chicken Breast,Food - Meat,"Juicy chicken breast stuffed with spinach and feta cheese, seasoned to perfection.",8.99,28
Car Trash Can,Automotive,Compact trash can for keeping your car clean.,12.99,37
Compact Folding Table,Outdoor,Versatile folding table great for events or outdoor activities.,49.99,1
Action Camera,Electronics,Compact action camera for capturing adventures.,199.99,56
Wooden Kitchen Utensil Set,Kitchen,Eco-friendly utensil set made from natural wood.,19.99,81
Bamboo Memory Foam Pillow,Home,Ergonomically designed pillow with breathable bamboo cover.,34.99,12
Ramen Noodle Soup Cups,Food - Prepared Meals,Instant ramen cups with flavor-packed broth.,1.29,75
Dog Frisbee Toy,Pets,Durable and soft frisbee designed for dogs to play with.,10.99,16
Organic Tomato Soup,Food - Canned Goods,Hearty tomato soup made from organic ingredients.,3.79,20
Organic Green Apples,Food - Produce,"Fresh and tart organic green apples, great for snacking or baking.",1.49,29
Heat-Resistant Silicone Mat,Kitchen,Protects surfaces while baking or cooking with hot items.,19.99,45
